Location,BHK,SquareFit,Balcony,Bathroom,Price
Tiruvarur,1,4796,2,2,240.97
Chengalpattu,3,2718,2,3,61.08
Cuddalore,3,1410,3,4,94.63
Chennai,5,3318,1,1,175.55
Tiruchirappalli,1,1510,1,1,96.25
Dharmapuri,5,4297,0,1,266.59
Thanjavur,4,2953,2,1,200.64
Tiruppur,2,3970,3,1,267.47
Ranipet,3,2647,0,4,78.19
Namakkal,2,2902,2,1,67.21
Pudukkottai,5,2293,1,3,120.21
Theni,2,3648,2,1,154.34
Karur,1,2436,2,1,165.82
Thoothukudi,4,980,0,1,59.76
Chennai,3,1682,2,4,46.92
Dindigul,1,831,2,2,25.66
Ramanathapuram,1,2219,3,2,111.91
Karur,3,410,1,2,17.42
Perambalur,5,3868,0,2,212.9
Ranipet,3,959,1,1,24.47
Perambalur,3,2590,0,3,88.83
Tiruvannamalai,2,3188,1,1,73.08
Karur,3,4762,1,4,114.97
Chengalpattu,4,722,3,2,44.39
Dindigul,2,2509,3,3,150.45
Viluppuram,1,714,2,1,17.63
Dindigul,2,4188,2,2,222.25
Theni,3,4593,2,3,168.51
Mayiladuthurai,1,3498,2,2,157.33
Ariyalur,1,4503,2,2,200.64
Mayiladuthurai,1,3045,2,1,198.81
Tiruvallur,1,4695,1,2,138.61
Dindigul,2,3081,3,1,127.04
Chennai,5,1984,2,3,131.05
Tirupathur,5,4568,1,2,169.83
Namakkal,4,4009,3,3,136.14
Ariyalur,5,1278,0,3,35.53
Tiruvannamalai,4,1337,3,4,85.25
Dharmapuri,4,3060,0,5,213.67
Virudhunagar,5,461,0,2,18.39
Sivaganga,2,3224,1,2,208.17
Virudhunagar,4,2682,1,2,102.9
Tirunelveli,5,2383,2,2,103.04
Mayiladuthurai,1,2182,1,1,146.71
Nagapattinam,4,3857,2,1,144.99
Perambalur,2,1581,3,2,40.36
Kanyakumari,4,3391,1,5,132.99
Tenkasi,3,563,2,3,13.74
Sivaganga,1,4100,1,1,166.47
Erode,5,2283,2,2,106.94
Coimbatore,2,541,0,2,18.5
Karur,3,945,1,2,50.24
Nilgiris,4,3464,1,3,144.5
Tiruppur,5,2950,2,6,128.07
Thanjavur,3,2033,3,1,127.21
Vellore,1,1147,3,2,42.96
Tenkasi,5,1714,2,3,75.95
Tiruchirappalli,3,1996,3,3,100.63
Sivaganga,4,1506,0,1,68.79
Tiruppur,5,1083,1,2,24.12
Chengalpattu,5,3762,3,1,247.7
Tiruvannamalai,5,4766,3,6,170.48
Pudukkottai,4,4935,1,4,289.81
Nilgiris,3,1377,1,1,51.1
Viluppuram,4,1552,1,3,106.84
Thoothukudi,2,2526,2,3,116.57
Viluppuram,4,3234,2,5,220.03
Nagapattinam,2,4984,2,3,188.53
Sivaganga,5,1565,1,1,77.03
Tenkasi,5,3443,2,1,162.51
Ramanathapuram,2,2482,2,1,70.48
Virudhunagar,1,429,2,1,10.02
Tenkasi,5,3888,3,2,193.08
Kallakurichi,5,4039,1,2,97.94
Thoothukudi,2,1796,0,2,46.72
Tirupathur,2,2655,0,1,70.59
Ranipet,4,3824,3,2,195.16
Salem,4,1532,0,4,67.69
Tiruvarur,5,825,2,3,28.93
Viluppuram,5,2004,0,5,47.48
Salem,4,4499,0,3,122.98
Viluppuram,3,2304,3,3,98.21
Vellore,2,2842,1,2,116.44
Krishnagiri,3,2294,1,2,56.77
Tenkasi,2,1733,0,2,38.13
Kanchipuram,1,2722,3,2,136.71
Thanjavur,3,4909,2,2,341.8
Virudhunagar,1,3265,2,1,145.64
Salem,1,2295,2,2,143.35
Tirunelveli,1,2344,1,2,138.58
Kanchipuram,3,3658,3,1,234.24
Sivaganga,3,2661,2,4,167.17
Vellore,1,2976,3,1,98.25
Mayiladuthurai,2,3070,1,2,155.49
Nilgiris,4,1225,1,5,64.22
Thoothukudi,3,2542,0,4,128.19
Dharmapuri,1,4551,1,2,192.09
Tiruvarur,1,664,0,1,13.72
Tenkasi,4,453,2,4,10.86
Cuddalore,3,1007,1,1,28.46
Tiruvallur,5,1302,2,6,40.18
Viluppuram,3,755,3,4,49.16
Kanyakumari,4,872,2,3,50.44
Dindigul,1,1371,3,1,36.49
Ranipet,5,1704,3,5,71.55
Ariyalur,2,4085,0,1,153.14
Tirunelveli,2,2513,0,3,172.74
Sivaganga,1,2945,2,1,107.41
Tenkasi,4,4256,2,1,271.28
Krishnagiri,1,667,3,2,33.36
Kanyakumari,4,2524,3,2,129.86
Perambalur,2,1749,0,1,92.56
Dindigul,1,4870,3,1,125.07
Erode,3,4076,0,2,231.2
Ranipet,3,935,3,1,26.14
Chennai,2,2161,3,3,86.03
Krishnagiri,3,4835,3,3,136.2
Tiruvallur,3,3692,2,1,187.07
Kanchipuram,3,1815,0,3,82.33
Sivaganga,2,437,0,1,25.81
Thanjavur,2,3945,0,3,219.18
Pudukkottai,2,1350,2,3,56.51
Erode,4,1377,0,4,77.64
Salem,3,2726,3,1,147.79
Mayiladuthurai,3,1910,1,1,95.95
Chengalpattu,1,4602,3,2,167.17
Karur,5,4242,3,6,236.41
Coimbatore,3,641,1,2,34.4
Salem,5,2539,1,5,98.88
Ariyalur,5,3374,3,5,203.67
Tirupathur,1,620,3,2,28.16
Karur,4,1349,1,1,29.38
Tirunelveli,4,3922,0,2,246.59
Kanyakumari,1,4236,0,1,296.13
Perambalur,1,3250,1,1,160.96
Chennai,3,4863,0,4,124.3
Viluppuram,2,4282,2,1,213.83
Ariyalur,3,2431,2,3,76.76
Thoothukudi,4,4556,0,4,173.76
Krishnagiri,3,2210,0,4,132.05
Thoothukudi,4,1246,2,3,75.13
Chennai,5,2230,2,4,135.08
Cuddalore,2,3825,2,2,175.68
Thanjavur,5,876,1,4,31.65
Tenkasi,2,2215,1,3,111.19
Viluppuram,3,3897,1,1,261.26
Kallakurichi,2,3120,0,3,204.5
Chennai,5,4353,2,2,146.74
Vellore,2,4821,3,1,262.82
Tenkasi,3,3666,0,2,171.95
Erode,2,3152,0,2,138.99
Thanjavur,5,440,3,1,13.67
Tiruvannamalai,5,840,1,2,31.39
Nagapattinam,3,2235,3,1,84.75
Karur,3,2044,2,1,110.93
Kallakurichi,4,2346,3,3,132.38
Dindigul,3,3516,3,3,172.87
Chennai,1,4498,3,1,270.68
Tirupathur,3,2338,2,2,48.82
Thoothukudi,4,2892,0,5,124.48
Theni,1,4742,1,1,113.38
Ranipet,4,1806,3,4,122.5
Karur,3,1170,2,4,62.79
Ariyalur,1,4487,2,1,189.06
Ramanathapuram,1,1280,0,2,46.5
Vellore,3,539,1,3,19.54
Coimbatore,1,4841,3,1,205.37
Nagapattinam,1,3124,1,1,180.35
Perambalur,3,3482,3,4,132.15
Ranipet,1,2315,0,2,104.13
Nilgiris,5,872,3,4,34.35
Theni,3,1177,2,1,27.92
Kanchipuram,2,3842,3,1,253.5
Viluppuram,5,695,2,2,23.9
Vellore,1,2717,1,1,168.46
Tiruvarur,2,1424,3,2,84.09
Tirunelveli,1,4965,1,1,153.58
Tirunelveli,4,4303,1,1,101.48
Nagapattinam,4,2435,0,2,129.36
Tiruvannamalai,1,4321,2,2,285.7
Virudhunagar,1,3994,2,2,168.12
Vellore,3,982,1,3,59.38
Theni,5,2911,3,5,101.03
Dharmapuri,1,868,1,2,25.02
Ariyalur,5,1502,2,6,57.99
Tirupathur,2,3644,0,1,246.77
Salem,4,684,3,1,39.55
Ranipet,3,1189,2,4,79.63
Chengalpattu,2,1448,3,2,80.52
Theni,2,3096,1,1,69.6
Tirunelveli,5,3445,3,2,154.67
Tenkasi,1,2294,3,2,93.47
Karur,1,2562,3,2,104.32
Tiruvarur,1,3042,0,1,193.13
Ramanathapuram,5,639,3,5,40.99
Virudhunagar,4,2764,0,2,98.73
Cuddalore,1,1510,2,2,99.01
Coimbatore,1,4371,1,1,158.96
Dindigul,5,3432,2,4,75.21
Pudukkottai,2,1364,3,3,92.07
Kallakurichi,4,4422,0,1,166.69
Sivaganga,3,3571,2,4,176.24
Theni,4,2915,1,3,169.95
Vellore,3,3528,0,1,171.23
Viluppuram,4,3339,0,3,181.87
Tiruvallur,4,1849,3,5,68.63
Krishnagiri,2,4423,2,3,267.95
Dindigul,2,1892,3,1,66.62
Namakkal,4,2071,2,4,115.16
Tenkasi,4,3239,3,1,143.88
Thoothukudi,4,3331,1,3,71.26
Thoothukudi,2,4803,1,1,227.08
Virudhunagar,1,1945,1,2,90.54
Tiruvannamalai,2,3036,1,3,207.82
Kallakurichi,4,4405,3,1,297.1
Nagapattinam,1,2634,3,1,107.03
Nagapattinam,4,2355,2,5,162.82
Vellore,1,4398,0,1,169.34
Dindigul,3,4119,0,4,226.39
Tirupathur,3,2632,1,2,176.12
Ranipet,5,600,3,6,20.74
Dindigul,5,2922,0,3,69.51
Vellore,4,644,3,1,31.16
Nilgiris,1,3538,3,2,174.13
Salem,1,2571,0,2,124.04
Ariyalur,5,2662,3,2,120.18
Tiruvannamalai,1,2359,0,1,69.8
Pudukkottai,5,815,2,5,55.62
Sivaganga,3,940,2,2,53.62
Krishnagiri,3,985,0,2,33.4
Tiruppur,1,3257,2,2,105.56
Tiruvannamalai,5,3143,1,1,183.86
Perambalur,4,2249,3,2,117.14
Tenkasi,4,3823,2,4,171.38
Mayiladuthurai,5,832,0,2,54.94
Coimbatore,4,3350,1,4,133.28
Virudhunagar,4,536,3,2,10.97
Sivaganga,3,974,2,4,27.85
Thoothukudi,5,1333,3,5,77.96
Chennai,1,1497,2,1,87.28
Thanjavur,1,2290,3,2,152.18
Pudukkottai,1,3629,2,2,136.56
Sivaganga,3,3567,1,4,108.01
Theni,5,2228,2,4,92.93
Kallakurichi,5,467,3,6,25.66
Tirunelveli,4,2922,1,3,111.3
Viluppuram,2,1405,1,1,62.78
Tiruvarur,2,1275,1,1,31.91
Tirunelveli,4,3089,3,1,68.23
Virudhunagar,4,2013,3,3,137.1
Coimbatore,1,4531,1,2,183.89
Tiruvallur,3,3115,1,3,195.36
Namakkal,3,569,3,3,12.31
Chennai,4,4781,1,3,170.62
Thanjavur,5,3531,1,1,137.09
Tiruchirappalli,4,2483,0,4,76.28
Tiruvarur,3,4887,1,3,101.5
Namakkal,1,4158,2,2,254.87
Nilgiris,5,2381,3,2,155.68
Theni,3,1606,2,3,68.08
Nagapattinam,1,2839,1,2,164.07
Tiruvannamalai,4,3364,2,5,71.38
Tiruchirappalli,2,1737,0,1,88.59
Namakkal,5,4692,0,1,220.01
Tirupathur,1,3261,2,2,200.19
Ariyalur,1,4335,0,1,249.73
Tiruvarur,1,4369,0,1,108.29
Namakkal,4,4330,2,1,183.16
Tiruvallur,5,1503,2,3,56.85
Kanchipuram,3,3530,1,2,90.87
Vellore,4,444,0,5,9.68
Tirupathur,1,4186,3,1,101.67
Coimbatore,2,1152,3,1,73.96
Chennai,1,3144,1,1,160.73
Dindigul,1,744,2,1,22.02
Tiruppur,1,4323,3,1,129.92
Nilgiris,5,3603,0,2,122.16
Perambalur,1,1441,1,1,98.31
Dharmapuri,3,4718,0,1,151.61
Namakkal,1,4231,1,2,210.87
Thanjavur,1,3664,1,1,130.5
Theni,1,4909,0,1,340.42
Coimbatore,3,1835,3,4,60.71
Tenkasi,2,626,3,1,42.26
Kallakurichi,1,3325,3,1,218.63
Ramanathapuram,1,2853,3,2,148.55
Tiruvallur,4,2896,3,2,184.23
Ariyalur,2,3222,0,1,110.03
Kanyakumari,2,4848,0,2,296.49
Karur,4,2591,3,4,129.05
Namakkal,1,1495,0,1,60.81
Sivaganga,2,963,0,3,54.28
Ramanathapuram,1,3251,0,1,141.67
Erode,3,2271,3,2,136.96
Cuddalore,5,3833,2,1,170.48
Ariyalur,2,4378,3,3,216.78
Erode,1,1173,3,2,58.11
Chennai,5,4680,3,6,184.96
Ranipet,1,4072,2,1,192.69
Tirunelveli,1,3948,1,2,205.89
Salem,1,4761,0,2,278.92
Tenkasi,1,3840,2,2,127.72
Sivaganga,2,4569,2,1,145.66
Tiruvannamalai,5,1225,0,1,35.31
Coimbatore,1,1110,3,2,26.25
Nilgiris,3,2142,0,4,65.99
Namakkal,4,876,3,3,23.19
Tenkasi,5,4039,3,2,256.68
Theni,2,1619,1,2,48.02
Chennai,4,4318,3,3,125.53
Tiruvannamalai,2,4426,1,3,240.7
Nagapattinam,2,943,0,1,28.99
Kallakurichi,2,4655,3,2,138.24
Dindigul,2,1126,0,2,28.92
Tiruvallur,5,2452,2,5,149.78
Theni,5,1918,3,4,42.95
Mayiladuthurai,4,3157,1,5,63.15
Coimbatore,4,3181,0,3,181.51
Theni,4,3039,2,3,161.26
Mayiladuthurai,4,2689,2,1,105.74
Viluppuram,1,1579,2,1,87.09
Tirupathur,2,2412,0,1,164.65
Thanjavur,3,418,0,4,8.57
Tiruvallur,1,1120,1,2,25.1
Salem,2,2835,0,2,192.03
Ariyalur,4,2304,1,1,102.27
Tirupathur,2,2593,0,2,179.13
Kanchipuram,1,871,2,2,36.62
Thoothukudi,5,2135,2,2,62.3
Cuddalore,4,3240,0,2,69.61
Vellore,1,1300,2,2,58.45
Tenkasi,5,963,0,4,35.14
Tiruvannamalai,3,1566,2,2,61.34
Thanjavur,5,523,1,6,32.7
Erode,5,1306,0,4,39.74
Theni,2,3426,2,2,76.63
Dindigul,5,4941,3,1,258.62
Kanchipuram,4,1238,0,4,52.04
Tirunelveli,1,2253,0,1,120.16
Dharmapuri,3,1841,2,4,94.87
Karur,1,1597,0,2,93.78
Tiruchirappalli,3,995,3,1,45.02
Pudukkottai,1,4452,0,2,102.96
Theni,4,1282,3,4,85.27
Tiruvannamalai,4,2655,3,2,88.72
Madurai,3,1629,3,4,89.86
Cuddalore,4,3015,2,4,81.83
Vellore,3,4498,1,1,197.98
Chengalpattu,4,2444,3,1,159.36
Chengalpattu,5,4131,1,5,268.48
Tiruvannamalai,2,2287,1,2,145.44
Tiruchirappalli,1,3106,1,1,163.24
Thoothukudi,4,3567,0,1,183.12
Tiruchirappalli,3,4791,1,2,317.76
Ariyalur,4,4935,2,1,134.7
Tirunelveli,3,2851,0,2,63.21
Krishnagiri,4,4841,2,1,155.79
Theni,5,4210,2,5,273.72
Ranipet,5,4043,0,1,98.24
Kallakurichi,2,619,2,1,30.98
Erode,2,4409,0,2,176.16
Dindigul,1,534,1,1,20.83
Ranipet,2,2926,2,2,126.4
Tiruchirappalli,3,3154,2,3,71.51
Tirupathur,2,3612,3,2,91.58
Dindigul,4,972,2,3,45.17
Pudukkottai,3,4177,3,4,149.05
Coimbatore,4,4634,3,5,224.87
Tiruvarur,5,3076,0,1,63.57
Namakkal,1,2322,2,1,58.08
Tiruvarur,4,4024,0,2,96.62
Erode,2,2970,0,2,76.39
Tiruvarur,3,1525,0,4,88.73
Tirunelveli,4,3467,0,1,74.17
Cuddalore,2,3632,1,3,202.96
Perambalur,1,3581,0,1,128.71
Madurai,4,3851,2,4,228.24
Coimbatore,4,2770,2,2,98.99
Tiruvarur,4,3932,0,5,204.12
Krishnagiri,5,2677,2,3,57.2
Chengalpattu,1,4868,3,2,180.02
Karur,1,1293,3,2,38.34
Tenkasi,4,485,3,5,14.93
Virudhunagar,3,2104,3,3,99.83
Thoothukudi,4,452,2,3,29.79
Dharmapuri,3,1223,2,1,40.62
Erode,1,1669,0,2,39.75
Nilgiris,1,3714,1,2,224.18
Mayiladuthurai,5,4167,3,5,237.24
Sivaganga,3,3398,2,3,70.31
Dindigul,3,566,3,3,38.9
Nagapattinam,1,2926,3,1,144.08
Namakkal,5,4010,2,1,127.3
Nagapattinam,1,930,3,2,23.82
Ramanathapuram,4,868,1,5,28.67
Pudukkottai,4,4745,3,4,210.47
Tiruvarur,3,858,0,1,45.07
Chennai,1,1815,0,2,89.59
Viluppuram,3,3370,3,1,136.54
Dindigul,5,2623,1,3,140.11
Tiruvannamalai,2,3856,0,1,265.83
Namakkal,1,748,3,1,32.93
Tenkasi,1,4290,1,1,295.99
Virudhunagar,4,724,1,5,16.3
Thanjavur,3,4670,0,3,324.02
Dindigul,5,4792,3,6,129.58
Tiruvallur,4,3695,1,2,138.01
Nagapattinam,3,1741,1,2,110.69
Sivaganga,3,4473,2,3,161.72
Madurai,4,3462,3,5,120.44
Tiruppur,3,4969,3,1,125.98
Ramanathapuram,3,2969,1,3,104.89
Nilgiris,1,3568,3,2,119.18
Tiruvannamalai,5,3752,2,3,222.13
Ranipet,5,2793,2,6,153.87
Mayiladuthurai,1,2036,3,2,88.23
Kallakurichi,2,4002,3,3,275.79
Thoothukudi,1,2515,3,1,85.93
Viluppuram,5,2830,2,3,84.89
Viluppuram,1,3765,2,1,178.75
Tiruvarur,3,2935,3,3,95.86
Tiruchirappalli,3,1201,2,2,75.8
Nagapattinam,5,1360,1,1,92.56
Kallakurichi,5,2486,1,5,172.4
Tirupathur,5,2728,2,2,83.38
Erode,1,1566,1,1,36.94
Thoothukudi,1,4073,1,2,193.89
Dharmapuri,4,3987,1,5,211.83
Kallakurichi,3,4250,0,2,216.02
Theni,5,4006,0,3,214.07
Tiruvallur,1,4693,0,2,302.74
Madurai,5,3693,2,6,192.75
Krishnagiri,1,2210,3,1,103.41
Dindigul,5,952,3,1,44.18
Perambalur,5,2306,3,2,132
Coimbatore,3,3994,0,3,208.24
Tiruvannamalai,5,1358,3,4,50.72
Erode,2,1981,2,2,85.75
Pudukkottai,1,737,1,2,38.66
Theni,5,1696,2,3,106.78
Ariyalur,5,4789,2,6,197.54
Vellore,1,3742,1,1,199.28
Virudhunagar,4,1631,3,2,47.42
Ramanathapuram,4,2387,3,1,89.82
Tiruppur,4,1321,3,4,68.27
Dharmapuri,3,4496,1,4,289.81
Namakkal,4,3439,2,4,140.07
Ramanathapuram,4,4014,0,4,222.13
Virudhunagar,5,2819,2,5,136.39
Mayiladuthurai,4,2109,1,1,139.87
Tenkasi,4,3882,0,1,157.73
Ariyalur,1,1960,2,1,59.03
Mayiladuthurai,1,3756,1,2,81.19
Viluppuram,2,4785,0,3,155.78
Dindigul,5,4052,1,4,155.01
Chennai,2,1082,2,1,25.9
Thanjavur,1,765,2,1,31.43
Tirupathur,3,1117,1,4,77.03
Tirupathur,1,1610,1,1,75.52
Ariyalur,3,2366,3,1,64.76
Ranipet,4,2398,0,5,126.11
Chennai,4,3259,2,4,220.72
Ariyalur,1,1838,2,2,44.54
Tiruvannamalai,3,3667,3,2,228.38
Krishnagiri,1,2035,2,2,79.29
Erode,3,3921,3,1,258.01
Vellore,5,2446,3,3,87.16
Karur,2,1328,0,3,49.76
Kallakurichi,5,3898,2,3,270.89
Chengalpattu,4,907,3,5,39.25
Namakkal,5,1947,2,5,100.96
Ranipet,2,2756,0,2,76.38
Tirunelveli,5,4162,1,2,96.99
Ariyalur,5,4531,1,5,93.96
Erode,5,1966,1,1,57.15
Chengalpattu,2,3671,1,2,198.87
Thoothukudi,3,2358,0,3,58.28
Dindigul,2,2936,1,2,134.94
Nilgiris,4,948,1,5,28.93
Chengalpattu,2,1023,1,1,52.68
Tiruppur,2,1159,3,2,34.69
Tiruvallur,1,2058,0,1,42.68
Kanyakumari,2,2666,1,3,101.52
Erode,3,4305,1,2,183.67
Salem,5,2335,2,1,71.9
Tiruvannamalai,5,4134,1,3,199.66
Virudhunagar,3,4379,1,2,166.96
Tiruppur,1,3629,2,1,72.91
Perambalur,4,3463,2,2,156.23
Kanyakumari,4,4104,3,1,101.44
Chengalpattu,1,4548,3,1,252.45
Tiruvallur,5,1976,1,1,117.17
Chennai,4,1491,0,5,83.29
Tiruchirappalli,2,818,0,1,53.55
Krishnagiri,1,693,2,2,41.41
Vellore,4,2271,2,5,102.55
Kanyakumari,2,1730,2,3,111.17
Vellore,5,557,0,1,15.12
Kanchipuram,5,4382,2,6,118.95
Namakkal,5,4022,1,4,227.84
Kanyakumari,1,2149,3,2,52.98
Madurai,3,3386,2,4,211.77
Vellore,4,1890,0,1,83.83
Krishnagiri,2,1136,1,3,71.03
Thanjavur,2,4971,0,1,239.5
Tiruvarur,4,3682,3,3,167.04
Perambalur,3,3729,2,2,230.57
Pudukkottai,4,4189,1,5,178.96
Kanchipuram,4,1565,3,3,52.51
Nilgiris,5,2057,2,6,57.56
Kallakurichi,4,4124,0,2,233.61
Kanyakumari,4,1437,2,1,57.81
Chennai,5,2453,1,1,62.73
Dindigul,4,4569,3,4,167.62
Mayiladuthurai,4,931,1,4,23.96
Coimbatore,2,4562,3,1,167.84
Madurai,2,3260,3,2,141.58
Chengalpattu,2,1102,0,2,33.81
Erode,3,1581,0,4,93.7
Karur,4,3011,3,1,203.05
Perambalur,1,1903,3,1,81.28
Cuddalore,3,1583,0,1,109.67
Coimbatore,3,1158,0,4,42.37
Salem,5,2618,3,6,159.86
Thanjavur,5,3082,3,2,131.32
Chengalpattu,3,4379,2,1,133.09
Coimbatore,5,4930,3,6,336.15
Chennai,1,2114,1,1,49.91
Thoothukudi,4,627,0,2,33.17
Tirupathur,3,3399,1,4,165.73
Kanchipuram,5,1569,1,3,40.76
Tirunelveli,4,4248,2,2,189.12
Ariyalur,4,3528,2,1,204.72
Chennai,4,1047,3,1,53.38
Perambalur,1,3631,1,1,93.53
Kanyakumari,5,4410,3,5,104.41
Perambalur,4,3981,0,5,184.06
Tirupathur,3,1020,3,1,33.68
Viluppuram,5,2142,2,6,89.12
Nagapattinam,1,2002,3,2,81.4
Ariyalur,1,3371,2,2,206.9
Ranipet,4,2255,3,1,154.04
Kanyakumari,4,3764,3,3,180.81
Tiruchirappalli,4,743,1,2,51.01
Tirupathur,5,3429,0,5,213.06
Viluppuram,2,1262,3,2,62.52
Kanyakumari,2,4771,2,1,178.69
Coimbatore,3,2845,0,3,182.28
